time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance
2025-11-26 22:00:00,4163.27,4167.43,4161.32,4164.07,4424,5,0,4160.25,4157.28703862493,4143.9511999999995,4139.8375979593375,4091.3412,4104.193327457034,58.09932699002079,7.071321283702673,7.8560211159401545,-0.7846998322374814,13.219285714285888,1,4136.7,4173.45
2025-11-26 23:00:00,4164.02,4167.58,4162.2,4163.65,2509,5,0,4161.0109999999995,4157.893034946365,4145.3682,4140.771417647206,4091.20965,4104.7850008955575,53.98664819246746,6.755385103117078,7.63589391337554,-0.880508810258462,12.75000000000013,1,4136.7,4173.45
2025-11-27 01:00:00,4163.05,4168.86,4162.49,4164.96,2698,5,0,4161.177,4158.566079237188,4146.2576,4141.719989504179,4091.15895,4105.383821992214,52.52144528203799,6.535373735386202,7.415789877777672,-0.8804161423914705,12.240714285714407,1,4136.7,4173.45
2025-11-27 02:00:00,4164.85,4167.36,4162.04,4164.63,2862,5,0,4161.1095000000005,4159.143595500313,4147.1798,4142.618421288329,4091.0768,4105.97339945062,51.26272643131021,6.262198176789752,7.185071537580089,-0.9228733607903363,12.060714285714377,1,4136.7,4173.45
2025-11-27 03:00:00,4164.57,4165.19,4148.74,4154.25,5030,5,0,4160.723,4158.677538785997,4147.6118,4143.074561629963,4090.96835,4106.453814660908,46.615366117590455,5.148773472170433,6.777811924498158,-1.629038452327725,12.590714285714316,1,4136.7,4173.45
2025-11-27 04:00:00,4154.63,4156.15,4144.56,4145.34,4298,15,0,4159.8775000000005,4157.407296996855,4147.827200000001,4143.163402350357,4090.8487,4106.840782569773,33.63625046682455,3.506987467442741,6.1236470330870745,-2.6166595656443334,12.324999999999948,1,4136.7,4173.45
2025-11-27 05:00:00,4145.37,4150.58,4144.17,4147.42,3836,8,0,4159.743,4156.456125854297,4147.8982,4143.330327748382,4090.7466000000004,4107.244597918168,44.13102820746154,2.346648147871747,5.368247256044009,-3.0215991081722624,11.039285714285663,1,4136.7,4173.45
2025-11-27 06:00:00,4147.27,4154.65,4142.58,4150.93,3867,5,0,4159.4235,4155.929828153888,4148.3282,4143.628354111191,4090.83785,4107.679323344199,48.346923647146376,1.6908079613376685,4.632759397102741,-2.9419514357650725,10.654285714285638,1,4136.7,4173.45
2025-11-27 07:00:00,4150.92,4154.6,4144.84,4147.23,3889,7,0,4158.731000000001,4155.101273091613,4148.5778,4143.769595126438,4090.9960499999997,4108.072902579,54.12448132780016,0.8625478954054415,3.878717096763281,-3.0161692013578394,10.128571428571377,1,4136.7,4173.45
2025-11-27 08:00:00,4147.25,4159.18,4147.14,4157.44,4722,5,0,4158.467000000001,4155.32400898765,4148.7,4144.305689435205,4091.5036,4108.56416711198,41.835016835016994,1.0182695201547176,3.306627581441569,-2.2883580612868513,8.91928571428564,1,4136.7,4173.45
2025-11-27 09:00:00,4157.4,4162.09,4155.59,4160.14,4617,5,0,4158.4800000000005,4155.78267479835,4149.0374,4144.926642790687,4091.8914,4109.077410816927,42.89256198347131,1.3440540464371225,2.91411287444068,-1.5700588280035577,8.84285714285709,1,4136.7,4173.45
2025-11-27 10:00:00,4160.21,4167.19,4159.74,4165.78,4740,7,0,4158.1875,4156.73480100803,4149.537200000001,4145.744421504777,4092.2520499999996,4109.641671563771,48.70081662954668,2.0338960080953257,2.7380695011716094,-0.7041734930762837,9.049999999999986,1,4136.7,4173.45
2025-11-27 11:00:00,4165.69,4165.69,4148.48,4158.7,4829,5,0,4158.3645,4156.921962816789,4149.6921999999995,4146.252483406551,4092.5203,4110.129862000246,44.90843744651746,1.9864058526072768,2.587736771458743,-0.6013309188514664,9.308571428571408,1,4136.7,4171.64
2025-11-27 12:00:00,4159.09,4160.53,4152.35,4156.51,4314,16,0,4158.532,4156.882728262809,4149.9904,4146.654738959235,4092.80465,4110.591400712307,44.28691983122411,1.7518605073946674,2.420561518645928,-0.6687010112512608,9.352142857142749,1,4136.7,4171.64
2025-11-27 13:00:00,4156.36,4162.43,4155.79,4157.4,4181,5,0,4159.289,4156.93199223778,4150.4878,4147.076121745147,4093.1008,4111.057202684697,44.38079191238414,1.6191328379836705,2.2602757825134767,-0.6411429445298062,9.389999999999873,1,4136.7,4171.64
