time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance,swing_high,swing_low,structure
2026-01-29 01:30:00,5490.46,5501.77,5489.37,5501.51,3233,4,0,5420.9015,5430.240455529436,5357.7396,5378.552106832505,5296.98475,5299.873828668165,91.48292261132693,38.14714535243729,30.68969531963271,7.457450032804584,16.49928571428583,1,5368.56,5501.77,False,False,BOS_BULLISH
2026-01-29 01:35:00,5501.53,5598.03,5500.23,5589.1,5402,4,0,5431.5135,5445.369935955204,5363.4164,5386.808886969548,5298.6238,5302.7698945536695,95.64035126822067,46.07056868937434,33.765869993581035,12.304698695793306,22.916428571428696,1,5376.83,5598.03,True,False,NONE
2026-01-29 01:40:00,5589.39,5591.85,5525.59,5531.56,4379,4,0,5438.7115,5453.5785134832795,5368.294,5392.48540121451,5299.992250000001,5305.060660770088,75.96915827800373,47.16327280020141,36.44535055490511,10.7179222452963,26.984285714285893,1,5378.33,5598.03,False,False,NONE
2026-01-29 01:45:00,5531.56,5543.52,5494.26,5496.34,3799,4,0,5443.925,5457.651036008682,5372.7418,5396.558130584487,5301.1889,5306.975730313467,67.98057880278532,44.672334165662505,38.09074727705659,6.581586888605912,30.189285714285884,1,5378.33,5598.03,False,False,NONE
2026-01-29 01:50:00,5496.34,5508.54,5486.54,5487.33,2734,4,0,5448.9425,5460.477604007855,5377.0154,5400.117811742942,5302.317099999999,5308.781307841845,65.8016653102109,41.49291119939153,38.77118006152358,2.7217311378679483,31.513571428571595,1,5379.99,5598.03,False,False,NONE
2026-01-29 01:55:00,5487.33,5530.32,5483.79,5513.03,3598,4,0,5455.281000000001,5465.482594102345,5381.701000000001,5404.545740700061,5303.558000000001,5310.825974388226,67.11912357792075,40.579199061151485,39.13278386144916,1.4464151997023222,33.480000000000146,1,5380.42,5598.03,False,False,NONE
2026-01-29 02:00:00,5513.03,5513.76,5453.04,5485.28,3253,4,0,5460.2265,5467.368061330692,5385.8988,5407.7117900884,5304.685600000001,5312.572270801673,60.924130062749455,37.18721149915655,38.74366938899064,-1.5564578898340926,36.393571428571576,1,5380.42,5598.03,False,True,NONE
2026-01-29 02:05:00,5485.28,5510.77,5478.38,5503.84,2886,4,0,5466.202,5470.841579299198,5390.3124,5411.48152381503,5305.92615,5314.486758987124,62.11702245326841,35.58645530102149,38.11222657139681,-2.525771270375323,37.95000000000021,1,5380.42,5598.03,False,False,NONE
2026-01-29 02:10:00,5503.84,5511.67,5488.61,5495.32,2386,4,0,5471.664999999999,5473.17285746118,5394.6876,5414.769307198693,5307.1104000000005,5316.296696315748,57.88498827887584,33.24709981472097,37.13920122006164,-3.892101405340675,36.96428571428591,1,5382.8,5598.03,False,False,NONE
2026-01-29 02:15:00,5495.32,5501.3,5480.0,5483.71,2555,4,0,5476.6625,5474.176394845829,5398.741999999999,5417.472863782185,5308.2372,5317.972216937702,54.49068844672286,30.10923326773718,35.733207629596755,-5.623974361859574,36.72642857142877,1,5382.8,5598.03,False,False,NONE
2026-01-29 02:20:00,5483.71,5486.73,5463.31,5478.35,2496,4,0,5481.2615000000005,5474.573881050988,5402.3616,5419.860202459982,5309.3203,5319.5772308859605,50.54630672307273,26.88008730337333,33.96258356435207,-7.082496260978743,36.49071428571441,1,5382.8,5598.03,False,True,NONE
2026-01-29 02:25:00,5478.28,5501.69,5477.89,5497.41,3026,4,0,5486.1685,5476.748749522323,5406.3776,5422.901370994131,5310.4963,5321.35682697626,50.785958748523434,25.564259698207024,32.282918791123066,-6.718659092916042,36.57071428571434,1,5391.33,5598.03,False,False,NONE
2026-01-29 02:30:00,5497.64,5521.28,5494.72,5521.24,3332,4,0,5491.7964999999995,5480.986011472578,5410.920999999999,5426.757787821749,5311.76935,5323.356970605286,55.266651275539644,26.142978700446292,31.05493077298771,-4.911952072541418,36.90857142857145,1,5408.35,5598.03,False,False,NONE
2026-01-29 02:35:00,5521.19,5527.25,5511.32,5518.74,3917,4,0,5496.9235,5484.58162942757,5415.625399999999,5430.364933400834,5313.0139500000005,5325.311973166972,54.118846489950435,26.099035141511195,30.063751646692413,-3.9647165051812188,37.24500000000002,1,5416.2,5598.03,True,False,NONE
2026-01-29 02:40:00,5518.74,5523.3,5492.74,5509.1,3942,4,0,5500.3369999999995,5486.91671233923,5419.9580000000005,5433.452583074241,5314.21585,5327.150853615247,51.110006142326505,24.99817867634647,29.050637052623227,-4.052458376276757,38.54214285714287,1,5432.4,5598.03,False,False,NONE
2026-01-29 02:45:00,5509.09,5520.35,5500.8,5503.28,3694,4,0,5502.866,5488.475120687875,5424.003199999999,5436.190913152191,5315.37045,5328.913006320206,33.50376749192668,23.386531261458913,27.917815894390365,-4.5312846329314524,32.952857142857155,1,5448.49,5598.03,False,False,NONE
2026-01-29 02:50:00,5503.27,5523.19,5502.59,5518.33,3133,4,0,5505.0445,5491.318442527125,5428.1528,5439.412053815635,5316.5930499999995,5330.807998928967,46.96043743969112,23.057901164193936,26.945832948351082,-3.8879317841571464,29.691428571428528,1,5453.04,5598.03,False,False,NONE
2026-01-29 02:55:00,5518.33,5522.92,5509.2,5520.37,3295,4,0,5506.452,5494.085257524542,5432.2388,5442.58687523723,5317.794150000001,5332.7043396599765,56.51396042287877,22.700394379566205,26.096745234594106,-3.396350855027901,27.1528571428571,1,5453.04,5598.03,False,False,NONE
2026-01-29 03:00:00,5520.37,5526.62,5467.71,5468.57,4270,4,0,5505.6435,5491.655232998395,5435.291,5443.60582130716,5318.7428,5334.063440044335,45.872205597606005,18.029408786142994,24.483277944903886,-6.453869158760892,29.78928571428566,1,5453.04,5598.03,True,False,NONE
2026-01-29 03:05:00,5468.57,5480.87,5445.46,5447.06,2868,4,0,5503.4735,5487.408067950929,5437.725799999999,5443.741279295217,5319.572649999999,5335.193714802596,35.211835911230764,12.44844390484559,22.07631113689223,-9.62786723204664,28.994999999999955,1,5445.46,5598.03,False,True,NONE
